पतलून,trousers 
टंकित,typewritten 
प्रचंड,तूफ़ान typhoon 
यूकैस,UCAS 
सर्वविद्यमानता,ubiquity 
पनडुब्बी,U-boat 
कुरूपता,ugliness 
भयानक,atrocious 
खतरनाक,ugly 
भयंकर,ugly 
घिनौना,despicable 
चिड़चिड़ा,surly 
डरावना,ugly 
अत्यधिक,कुरूप fugly 
छिपा,रुस्तम ugly duckling 
भद्दा,ugly 
फोड़ा,ulcer 
सर्वश्रेष्ठ,ultimate 
मूलभूत,रूप से ultimately 
अंत,में ultimately 
अतिरूढ़िवादी,ultraconservative 
अतिरूढ़िवादी,ultraconservative 
गहरा,नीला रंग ultramarine 
लाजवर्द,ultramarine 
पराध्वनिक,ultrasonic 
पराध्वनिक,चित्रण ultrasound 
परा-बैंगनी,विकिरण ultraviolet 
नाभि,रज्जु umbilical cord 
अंपायर,umpire 
बेपरवाह,unabashed 
निस्संकोचपूर्वक,unabashedly 
असमर्थ,unable 
असंक्षिप्त,शब्दकोश unabridged
अस्वीकार्य,unacceptable 
अस्वीकार्य,रूप से unacceptably 
बेसंगत,unaccompanied
अकेला,unaccompanied 
दुरूह,unaccountable 
बिना,किसी ख़ास वजह के unaccountably 
लापता,unaccounted for 
अस्पष्टीकृत,unaccounted for 
असामान्य,unaccustomed 
अनभ्यस्त,unaccustomed 
उपेक्षित,unacknowledged 
अपरिचित,unacquainted 
अनलंकृत,unadorned 
शुद्ध,unadulterated 
स्वाभाविक,unaffected 
अप्रभावित,unaffected 
भयहीन,unafraid 
सहायता,रहित unaided 
अमिश्रित,unalloyed 
अपरिवर्तनीय,unalterable 
अपरिवतित,unaltered 
सुस्पष्ट,unambiguous 
सुस्पष्ट,ढंग से unequivocally 
उच्चाकांक्षी,ambitious 
ग़ैर-अमरीकी,un-American 
सर्वसम्मति,unanimity 
सर्वसम्मत,unanimous 
सर्वसम्मति,से unanimously 
बिना,सूचना का unannounced 
लाजवाब,unanswerable 
अनुत्तरित,unanswered 
अप्रत्याशित,unanticipated 
अनाकर्षक,unappealing 
अक्षुधाकारक,unappetising 
बेकद्र,unappreciated 
ग़ैरमिलनसार,unapproachable 
अविवादास्पद,unarguable 
अविवादास्पद,रूप से unarguably 
निरस्त्र,unarmed 
संकोचहीन,unashamed 
अयाचित,unasked-for 
अनामंत्रित,unasked 
बिना,पूछा हुआ unasked 
अकाट्य,unassailable 
बिना,सहायता के unassisted 
निरहंकारी,unassuming 
असंबद्ध,unattached 
अप्राप्य,unattainable 
अनाकर्षक,unattractive 
अनाकर्षक,ढंग से unattractively 
अप्राप्य,unavailable 
असफल,unavailing 
अपरिहार्य,unavoidable 
अपरिहार्य,रूप से unavoidably 
बेखबरी,unawareness 
अप्रत्याशित,रूप से unawares 
पागल,unbalanced 
असंतुलित,कर देना unbalance 
प्रतिबंध,हटाना unban 
असहनीय,unbearable 
असहनीय,ढंग से unbearably 
अपराजेय,unbeatable 
अनुपयुक्त,unbecoming 
न,जँचने वाला unbecoming 
जानकारी,के बिना unbeknown 
बिना,बताए unbeknownst 
विश्वासहीनता,unbelief 
आश्चर्यजनक,रूप से खराब unbelievable 
ज़बर्दस्त,unbelievable 
नास्तिक,disbeliever 
अविश्वासपूर्ण,unbelieving 
अनम्य,unbending 
निष्पक्ष,unbiased 
बिन,बुलाये unbidden 
बेदाग,unblemished 
अनिमीलित,unblinking 
अवरोध,हटाना unblock 
अजन्मा,unborn 
अनमित,unbowed 
अनियंत्रित,unbridled 
अखंडित,unbroken 
खोलना,unbuckle 
कह,कर जी हल्का करना unburden 
अनौपचारिक,unbuttoned 
बटन,खोलना unbutton 
अनुचित,uncalled-for 
विचित्र,uncanny 
उपेक्षित,uncared-for 
परवाह,न करने वाला uncaring 
अनवरत,unceasing 
लगातार,unceasingly 
बिना,सेंसर किया हुआ uncensored 
लड़खड़ाता,हुआ uncertainly 
हिचकिचाता,हुआ uncertainly 
अस्थिरता,uncertainty 
अनिश्चितता,uncertainty 
अविवाद्य,unchallengeable 
अपरिवर्तनीय,unchangeable 
अपरिवर्तित,unchanged 
असामान्य,रूप से uncharacteristically 
अविशेषतासूचक,uncharacteristic 
अपरोपकारी,uncharitable 
दयाहीन,uncharitable 
अपरिचित,uncharted 
अशिष्ट,uncivil 
असभ्य,uncivilised 
असभ्य,uncivilized 
बिना,दावे का unclaimed 
गंदा,unclean 
संयुक्त,राज्य अमरीका Uncle Sam 
कुंडली,खोल कर सीधा होना uncoil 
अविरंजित,uncolored 
बेरंग,uncoloured 
बेचैन,uncomfortable 
बेआराम,uncomfortable 
अप्रिय,uncomfortable 
अप्रचलित,unaccustomed 
असाधारणता,uncommonness 
असाधारण,रूप से uncommonly 
अप्रतिस्पर्धात्मक,uncompetitive 
शिकायत,न करने वाला uncomplaining 
बिना,शिकायत किये uncomplainingly 
सरल,uncomplicated 
जटिलतारहित,uncomplicated 
हठीला,uncompromising 
समझौता,न करने वाले ढंग से uncompromisingly 
बेफ़िक्री,से unconcernedly 
निश्चिंतता,unconcern 
बिना,शर्त unconditional 
बिना,शर्त के unconditionally 
सहज,unconditioned 
अपुष्ट,unconfirmed 
अननुकूल,uncongenial 
असंबद्ध,unconnected 
हद,से ज़्यादा unconscionable 
अनजाने,में unconsciously 
